"BE","MRDCL Tables"
"JH"," "
"JF"," "
"TB","1"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024"
"RT","TOTAL",29,29,29
"PV",,100.0000%,100.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",66,66,66
"BL"
"RW","P2M%Total Gender%GCash%Total SEC%Total Lifestage%MIN%Total Usership",29,29,29
"PV",,100.0000%,100.0000%,100.0000%
"MK",," "," "," "
"BL"
"RW","P2M%Male%GCash%Total SEC%Total Lifestage%MIN%Total Usership",12,12,12
"PV",,42.7667%,42.7667%,42.7667%
"MK",," "," "," "
"BL"
"RW","P2M%Female%GCash%Total SEC%Total Lifestage%MIN%Total Usership",16,16,16
"PV",,57.2333%,57.2333%,57.2333%
"MK",," "," "," "
"TE"
"TB","17"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024"
"RT","TOTAL",29,29,29
"PV",,100.0000%,100.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",66,66,66
"BL"
"RW","P2M%Total Gender%GCash%Total SEC%Total Lifestage%MIN%User",29,29,29
"PV",,100.0000%,100.0000%,100.0000%
"MK",," "," "," "
"BL"
"RW","P2M%Male%GCash%Total SEC%Total Lifestage%MIN%User",12,12,12
"PV",,42.7667%,42.7667%,42.7667%
"MK",," "," "," "
"BL"
"RW","P2M%Female%GCash%Total SEC%Total Lifestage%MIN%User",16,16,16
"PV",,57.2333%,57.2333%,57.2333%
"MK",," "," "," "
"TE"
"TB","19"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024"
"RT","TOTAL",37,37,37
"PV",,100.0000%,100.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",52,52,52
"BL"
"RW","P2M%Total Gender%GCash%Total SEC%Youth (21 yo below)%Total Region%Total Usership",37,37,37
"PV",,100.0000%,100.0000%,100.0000%
"MK",," "," "," "
"BL"
"RW","P2M%Male%GCash%Total SEC%Youth (21 yo below)%Total Region%Total Usership",20,20,20
"PV",,53.3782%,53.3782%,53.3782%
"MK",," "," "," "
"BL"
"RW","P2M%Female%GCash%Total SEC%Youth (21 yo below)%Total Region%Total Usership",17,17,17
"PV",,46.6218%,46.6218%,46.6218%
"MK",," "," "," "
"TE"
"TB","20"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024"
"RT","TOTAL",37,37,37
"PV",,100.0000%,100.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",52,52,52
"BL"
"RW","P2M%Total Gender%GCash%Total SEC%Youth (21 yo below)%Total Region%User",37,37,37
"PV",,100.0000%,100.0000%,100.0000%
"MK",," "," "," "
"BL"
"RW","P2M%Male%GCash%Total SEC%Youth (21 yo below)%Total Region%User",20,20,20
"PV",,53.3782%,53.3782%,53.3782%
"MK",," "," "," "
"BL"
"RW","P2M%Female%GCash%Total SEC%Youth (21 yo below)%Total Region%User",17,17,17
"PV",,46.6218%,46.6218%,46.6218%
"MK",," "," "," "
"TE"
"TB","22"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024"
"RT","TOTAL",5,5,5
"PV",,100.0000%,100.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",4,4,4
"BL"
"RW","P2M%Total Gender%GCash%Total SEC%Youth (21 yo below)%MMA%Total Usership",5,5,5
"PV",,100.0000%,100.0000%,100.0000%
"MK",," "," "," "
"BL"
"RW","P2M%Male%GCash%Total SEC%Youth (21 yo below)%MMA%Total Usership",1,1,1
"PV",,23.7811%,23.7811%,23.7811%
"MK",," "," "," "
"BL"
"RW","P2M%Female%GCash%Total SEC%Youth (21 yo below)%MMA%Total Usership",4,4,4
"PV",,76.2189%,76.2189%,76.2189%
"MK",," "," "," "
"TE"
"TB","23"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024"
"RT","TOTAL",5,5,5
"PV",,100.0000%,100.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",4,4,4
"BL"
"RW","P2M%Total Gender%GCash%Total SEC%Youth (21 yo below)%MMA%User",5,5,5
