"BE","MRDCL Tables"
"JH"," "
"JF"," "
"TB","1"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024","FEB 2024"
"RW","P2M%Products and services are easy to avail of and use%GCash%Total SEC%Total Lifestage%Total Region%Non-user",28,28,0,28
"PV",,96.0941%,96.0941%,0.0000%,96.0941%
"MK",," "," "," "," "
"BL"
"RW","P2M%Does not take advantage of my personal and transaction data%GCash%Total SEC%Total Lifestage%Total Region%Non-user",25,25,0,25
"PV",,86.3725%,86.3725%,0.0000%,86.3725%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand that helps customers to develop their financial skills and understanding%GCash%Total SEC%Total Lifestage%Total Region%Non-user",26,26,0,26
"PV",,91.3092%,91.3092%,0.0000%,91.3092%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand I can depend on for emergency or additional funds%GCash%Total SEC%Total Lifestage%Total Region%Non-user",28,28,0,28
"PV",,96.2348%,96.2348%,0.0000%,96.2348%
"MK",," "," "," "," "
"BL"
"RW","P2M%Helps me get ready for a better tomorrow%GCash%Total SEC%Total Lifestage%Total Region%Non-user",24,24,0,24
"PV",,82.1049%,82.1049%,0.0000%,82.1049%
"MK",," "," "," "," "
"BL"
"RW","P2M%Gives me hope for the future%GCash%Total SEC%Total Lifestage%Total Region%Non-user",24,24,0,24
"PV",,82.1608%,82.1608%,0.0000%,82.1608%
"MK",," "," "," "," "
"TE"
"TB","4"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024","FEB 2024"
"RT","TOTAL",57,57,0,57
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",32,32,0,32
"BL"
"RW","P2M%Creates new and continuously innovate its products and services%GCash%Total SEC%Total Lifestage%MMA%Total Usership",44,44,0,44
"PV",,76.8496%,76.8496%,0.0000%,76.8496%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand for everyone (young or old, rich or poor)%GCash%Total SEC%Total Lifestage%MMA%Total Usership",45,45,0,45
"PV",,78.9030%,78.9030%,0.0000%,78.9030%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand that is safe and secure%GCash%Total SEC%Total Lifestage%MMA%Total Usership",41,41,0,41
"PV",,71.4737%,71.4737%,0.0000%,71.4737%
"MK",," "," "," "," "
"BL"
"RW","P2M%Provides relevant digital products and services%GCash%Total SEC%Total Lifestage%MMA%Total Usership",41,41,0,41
"PV",,71.6438%,71.6438%,0.0000%,71.6438%
"MK",," "," "," "," "
"BL"
"RW","P2M%Can be used whenever needed (any time and any day)%GCash%Total SEC%Total Lifestage%MMA%Total Usership",51,51,0,51
"PV",,89.2814%,89.2814%,0.0000%,89.2814%
"MK",," "," "," "," "
"BL"
"RW","P2M%Makes everyday life easier%GCash%Total SEC%Total Lifestage%MMA%Total Usership",51,51,0,51
"PV",,89.2814%,89.2814%,0.0000%,89.2814%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand for me%GCash%Total SEC%Total Lifestage%MMA%Total Usership",53,53,0,53
"PV",,92.9110%,92.9110%,0.0000%,92.9110%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand who genuinely cares about its customers%GCash%Total SEC%Total Lifestage%MMA%Total Usership",49,49,0,49
"PV",,85.6518%,85.6518%,0.0000%,85.6518%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has malasakit/concern for the community%GCash%Total SEC%Total Lifestage%MMA%Total Usership",43,43,0,43
"PV",,75.1033%,75.1033%,0.0000%,75.1033%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has reliable customer service when needed%GCash%Total SEC%Total Lifestage%MMA%Total Usership",46,46,0,46
"PV",,80.6493%,80.6493%,0.0000%,80.6493%
"MK",," "," "," "," "
"BL"
"RW","P2M%Gives me perks, rewards, and privileges that are relevant to me%GCash%Total SEC%Total Lifestage%MMA%Total Usership",45,45,0,45
"PV",,78.5627%,78.5627%,0.0000%,78.5627%
"MK",," "," "," "," "
"BL"
"RW","P2M%Opens up opportunities to progress more in life%GCash%Total SEC%Total Lifestage%MMA%Total Usership",44,44,0,44
"PV",,77.0197%,77.0197%,0.0000%,77.0197%
"MK",," "," "," "," "
"BL"
"RW","P2M%Can be used anywhere (widely accepted, online and in-store)%GCash%Total SEC%Total Lifestage%MMA%Total Usership",48,48,0,48
"PV",,84.2789%,84.2789%,0.0000%,84.2789%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has low to no transaction fees%GCash%Total SEC%Total Lifestage%MMA%Total Usership",43,43,0,43
"PV",,74.9758%,74.9758%,0.0000%,74.9758%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has features that can help me assure my future by growing my finances%GCash%Total SEC%Total Lifestage%MMA%Total Usership",41,41,0,41
"PV",,71.4846%,71.4846%,0.0000%,71.4846%
"MK",," "," "," "," "
"BL"
"RW","P2M%Complete and all-in one financial app/solution/website%GCash%Total SEC%Total Lifestage%MMA%Total Usership",47,47,0,47
"PV",,82.7359%,82.7359%,0.0000%,82.7359%
"MK",," "," "," "," "
"BL"
"RW","P2M%Widely and highly recommended e-wallet brand%GCash%Total SEC%Total Lifestage%MMA%Total Usership",47,47,0,47
"PV",,82.0222%,82.0222%,0.0000%,82.0222%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has advertisements I can relate to%GCash%Total SEC%Total Lifestage%MMA%Total Usership",46,46,0,46
"PV",,80.6493%,80.6493%,0.0000%,80.6493%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand that is trustworthy%GCash%Total SEC%Total Lifestage%MMA%Total Usership",51,51,0,51
"PV",,89.2814%,89.2814%,0.0000%,89.2814%
"MK",," "," "," "," "
"BL"
"RW","P2M%Products and services are easy to avail of and use%GCash%Total SEC%Total Lifestage%MMA%Total Usership",49,49,0,49
"PV",,85.8219%,85.8219%,0.0000%,85.8219%
"MK",," "," "," "," "
"BL"
"RW","P2M%Does not take advantage of my personal and transaction data%GCash%Total SEC%Total Lifestage%MMA%Total Usership",48,48,0,48
"PV",,83.7462%,83.7462%,0.0000%,83.7462%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand that helps customers to develop their financial skills and understanding%GCash%Total SEC%Total Lifestage%MMA%Total Usership",47,47,0,47
"PV",,82.0222%,82.0222%,0.0000%,82.0222%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand I can depend on for emergency or additional funds%GCash%Total SEC%Total Lifestage%MMA%Total Usership",48,48,0,48
"PV",,84.2789%,84.2789%,0.0000%,84.2789%
"MK",," "," "," "," "
"BL"
"RW","P2M%Helps me get ready for a better tomorrow%GCash%Total SEC%Total Lifestage%MMA%Total Usership",41,41,0,41
"PV",,71.4737%,71.4737%,0.0000%,71.4737%
"MK",," "," "," "," "
"BL"
"RW","P2M%Gives me hope for the future%GCash%Total SEC%Total Lifestage%MMA%Total Usership",40,40,0,40
"PV",,70.1008%,70.1008%,0.0000%,70.1008%
"MK",," "," "," "," "
"TE"
"TB","5"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024","FEB 2024"
"RT","TOTAL",55,55,0,55
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",30,30,0,30
"BL"
"RW","P2M%Creates new and continuously innovate its products and services%GCash%Total SEC%Total Lifestage%MMA%User",42,42,0,42
"PV",,75.9033%,75.9033%,0.0000%,75.9033%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand for everyone (young or old, rich or poor)%GCash%Total SEC%Total Lifestage%MMA%User",43,43,0,43
"PV",,78.0406%,78.0406%,0.0000%,78.0406%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand that is safe and secure%GCash%Total SEC%Total Lifestage%MMA%User",38,38,0,38
"PV",,70.3076%,70.3076%,0.0000%,70.3076%
"MK",," "," "," "," "
"BL"
"RW","P2M%Provides relevant digital products and services%GCash%Total SEC%Total Lifestage%MMA%User",39,39,0,39
"PV",,70.4847%,70.4847%,0.0000%,70.4847%
"MK",," "," "," "," "
"BL"
"RW","P2M%Can be used whenever needed (any time and any day)%GCash%Total SEC%Total Lifestage%MMA%User",49,49,0,49
"PV",,88.8432%,88.8432%,0.0000%,88.8432%
"MK",," "," "," "," "
"BL"
"RW","P2M%Makes everyday life easier%GCash%Total SEC%Total Lifestage%MMA%User",49,49,0,49
"PV",,88.8432%,88.8432%,0.0000%,88.8432%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand for me%GCash%Total SEC%Total Lifestage%MMA%User",51,51,0,51
"PV",,92.6212%,92.6212%,0.0000%,92.6212%
"MK",," "," "," "," "
"BL"
