"BE","MRDCL Tables"
"JH","PROJECT WALL E"
"JF"," "
"TB","1"
"VT","Q64. BRAND ASSOCIATION - KEY BRANDS - BDO Mobile/Online"
"HT","TOTAL"
"BT","AMONG BRAND AWARE - BDO Mobile/Online"
"CL",,"TOTAL (a)","JAN 2024 (b)","FEB 2024 (c)"
"PV",,11.5385%,14.2857%,9.3023%
"MK",," "," "," "
"BL"
"RW","Brand who genuinely cares about its customers",8,2,6
"PV",,10.2564%,5.7143%,13.9535%
"MK",," "," "," "
"BL"
"RW","Has malasakit/concern for the community",9,6,3
"PV",,11.5385%,17.1429%,6.9767%
"MK",," "," "," "
"BL"
"RW","Has reliable customer service when needed",8,5,3
"PV",,10.2564%,14.2857%,6.9767%
"MK",," "," "," "
"BL"
"RW","Gives me perks, rewards, and privileges that are relevant to me",9,4,5
"PV",,11.5385%,11.4286%,11.6279%
"MK",," "," "," "
"BL"
"RW","Opens up opportunities to progress more in life",10,7,3
"PV",,12.8205%,20.0000%,6.9767%
"MK",," "," "," "
"BL"
"RW","Can be used anywhere (widely accepted, online and in-store)",12,6,6
"PV",,15.3846%,17.1429%,13.9535%
"MK",," "," "," "
"BL"
"RW","Has low to no transaction fees",5,2,3
"PV",,6.4103%,5.7143%,6.9767%
"MK",," "," "," "
"BL"
"RW","Has features that can help me assure my future by growing my finances",11,6,5
"PV",,14.1026%,17.1429%,11.6279%
"MK",," "," "," "
"BL"
"RW","Complete and all-in one financial app/solution/website",6,3,3
"PV",,7.6923%,8.5714%,6.9767%
"MK",," "," "," "
"BL"
"RW","Widely and highly recommended e-wallet brand",7,3,4
"PV",,8.9744%,8.5714%,9.3023%
"MK",," "," "," "
"BL"
"RW","Has advertisements I can relate to",10,5,5
"PV",,12.8205%,14.2857%,11.6279%
"MK",," "," "," "
"BL"
"RW","Brand that is trustworthy",11,6,5
"PV",,14.1026%,17.1429%,11.6279%
"MK",," "," "," "
"BL"
"RW","Products and services are easy to avail of and use",8,5,3
"PV",,10.2564%,14.2857%,6.9767%
"MK",," "," "," "
"BL"
"RW","Does not take advantage of my personal and transaction data",10,7,3
"PV",,12.8205%,20.0000%,6.9767%
"MK",," "," "," "
"BL"
"RW","Brand that helps customers to develop their financial skills and understanding",12,6,6
"PV",,15.3846%,17.1429%,13.9535%
"MK",," "," "," "
"BL"
"RW","Brand I can depend on for emergency or additional funds",8,5,3
"PV",,10.2564%,14.2857%,6.9767%
"MK",," "," "," "
"BL"
"RW","Helps me get ready for a better tomorrow",7,3,4
"PV",,8.9744%,8.5714%,9.3023%
"MK",," "," "," "
"BL"
"RW","Gives me hope for the future",5,3,2
"PV",,6.4103%,8.5714%,4.6512%
"MK",," "," "," "
"BL"
"RW","Not Associated",49,20,29
"PV",,62.8205%,57.1429%,67.4419%
"MK",," "," "," "
"BL"
"RW","Total Count",271,139,132
"PV",,347.4359%,397.1429%,306.9767%
"MK",," "," "," "
"TE"
"TB","4"
"VT","Q64. BRAND ASSOCIATION - KEY BRANDS - Coins.ph"
"HT","TOTAL"
"BT","AMONG BRAND AWARE - Coins.ph"
"CL",,"TOTAL (a)","JAN 2024 (b)","FEB 2024 (c)"
"RT","Total",77,35,42
"PV",,100.0000%,100.0000%,100.0000%
"BL"
"RW","Creates new and continuously innovate its products and services",1,0,1
"PV",,1.2987%,0.0000%,2.3810%
"MK",," "," "," "
"BL"
"RW","Brand for everyone (young or old, rich or poor)",1,0,1
"PV",,1.2987%,0.0000%,2.3810%
"MK",," "," "," "
"BL"
"RW","Brand that is safe and secure",2,0,2
"PV",,2.5974%,0.0000%,4.7619%
"MK",," "," "," "
"BL"
"RW","Provides relevant digital products and services",1,0,1
"PV",,1.2987%,0.0000%,2.3810%
"MK",," "," "," "
"BL"
"RW","Can be used whenever needed (any time and any day)",2,0,2
"PV",,2.5974%,0.0000%,4.7619%
"MK",," "," "," "
"BL"
"RW","Makes everyday life easier",2,0,2
"PV",,2.5974%,0.0000%,4.7619%
"MK",," "," "," "
"BL"
"RW","Brand for me",2,0,2
"PV",,2.5974%,0.0000%,4.7619%
"MK",," "," "," "
"BL"
"RW","Brand who genuinely cares about its customers",3,1,2
"PV",,3.8961%,2.8571%,4.7619%
"MK",," "," "," "
"BL"
"RW","Has malasakit/concern for the community",2,1,1
"PV",,2.5974%,2.8571%,2.3810%
"MK",," "," "," "
"BL"
"RW","Has reliable customer service when needed",2,1,1
"PV",,2.5974%,2.8571%,2.3810%
"MK",," "," "," "
"BL"
"RW","Gives me perks, rewards, and privileges that are relevant to me",2,1,1
"PV",,2.5974%,2.8571%,2.3810%
"MK",," "," "," "
"BL"
"RW","Opens up opportunities to progress more in life",2,1,1
"PV",,2.5974%,2.8571%,2.3810%
"MK",," "," "," "
"BL"
"RW","Can be used anywhere (widely accepted, online and in-store)",1,0,1
"PV",,1.2987%,0.0000%,2.3810%
"MK",," "," "," "
"BL"
"RW","Has low to no transaction fees",2,0,2
"PV",,2.5974%,0.0000%,4.7619%
"MK",," "," "," "
"BL"
"RW","Has features that can help me assure my future by growing my finances",3,1,2
"PV",,3.8961%,2.8571%,4.7619%
"MK",," "," "," "
"BL"
"RW","Complete and all-in one financial app/solution/website",3,2,1
"PV",,3.8961%,5.7143%,2.3810%
"MK",," "," "," "
"BL"
