"BE","MRDCL Tables"
"JH"," "
"JF"," "
"TB","2"
"IT","Wall-E"
"VT","wtd - FEB-Q1 2024"
"HT","USER AND NON-USER URBANITY"
"BT","All respondents-UNWTD"
"CJ",,,"QUARTER 1 2024",,,,"FEBRUARY 2024",,,
"CH",,,"USER",,"NON-USER",,"USER",,"NON-USER",
"CL",,"TOTAL","URBAN","RURAL","URBAN","RURAL","URBAN","RURAL","URBAN","RURAL"
"BL"
"RW","     RURAL/NCL/ABC1C2D",60,0,0,0,60,0,0,0,60
"PV",,10.0133%,0.0000%,0.0000%,0.0000%,30.1407%,0.0000%,0.0000%,0.0000%,30.1407%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/SL/ABC1",4,0,0,4,0,0,0,4,0
"PV",,0.6040%,0.0000%,0.0000%,2.2909%,0.0000%,0.0000%,0.0000%,2.2909%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/SL/C2",21,0,0,21,0,0,0,21,0
"PV",,3.4795%,0.0000%,0.0000%,13.1977%,0.0000%,0.0000%,0.0000%,13.1977%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/SL/D",26,0,0,26,0,0,0,26,0
"PV",,4.3772%,0.0000%,0.0000%,16.6027%,0.0000%,0.0000%,0.0000%,16.6027%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     RURAL/SL/ABC1C2",15,0,0,0,15,0,0,0,15
"PV",,2.5022%,0.0000%,0.0000%,0.0000%,7.5318%,0.0000%,0.0000%,0.0000%,7.5318%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     RURAL/SL/D",39,0,0,0,39,0,0,0,39
"PV",,6.4287%,0.0000%,0.0000%,0.0000%,19.3508%,0.0000%,0.0000%,0.0000%,19.3508%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/VIS/ABC1C2",7,0,0,7,0,0,0,7,0
"PV",,1.1275%,0.0000%,0.0000%,4.2766%,0.0000%,0.0000%,0.0000%,4.2766%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/VIS/D",9,0,0,9,0,0,0,9,0
"PV",,1.5115%,0.0000%,0.0000%,5.7329%,0.0000%,0.0000%,0.0000%,5.7329%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     RURAL/VIS/ABC1C2",4,0,0,0,4,0,0,0,4
"PV",,0.7051%,0.0000%,0.0000%,0.0000%,2.1225%,0.0000%,0.0000%,0.0000%,2.1225%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     RURAL/VIS/D",33,0,0,0,33,0,0,0,33
"PV",,5.5805%,0.0000%,0.0000%,0.0000%,16.7976%,0.0000%,0.0000%,0.0000%,16.7976%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/MIN/ABC1C2",6,0,0,6,0,0,0,6,0
"PV",,1.0734%,0.0000%,0.0000%,4.0714%,0.0000%,0.0000%,0.0000%,4.0714%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/MIN/D",20,0,0,20,0,0,0,20,0
"PV",,3.3704%,0.0000%,0.0000%,12.7839%,0.0000%,0.0000%,0.0000%,12.7839%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     RURAL/MIN/ABC1C2",10,0,0,0,10,0,0,0,10
"PV",,1.6953%,0.0000%,0.0000%,0.0000%,5.1031%,0.0000%,0.0000%,0.0000%,5.1031%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     RURAL/MIN/D",38,0,0,0,38,0,0,0,38
"PV",,6.2968%,0.0000%,0.0000%,0.0000%,18.9537%,0.0000%,0.0000%,0.0000%,18.9537%
"MK",," "," "," "," "," "," "," "," "," "
"TE"
"EN"
